"DIM_PRODUCT_MASTER_KEY","PRODUCT_ID","MATERIAL_TYPE","MATERIAL_GROUP","BASE_UNIT_OF_MEASURE","PRODUCT_DESCRIPTION"
1,"BEER-001000","FERT","LAGER","CS","Brooklyn Lager - 24x12oz Case"
2,"BEER-001001","FERT","IPA","CS","Chicago IPA - 24x16oz Case"
3,"BEER-001002","FERT","STOUT","CS","Toronto Stout - 12x22oz Case"
4,"BEER-001003","FERT","PILSNER","KEG","NY Pilsner - 50L Keg"
5,"BEER-001004","FERT","ALE","KEG","Chicago Amber Ale - 50L Keg"
6,"BEER-001005","FERT","BEER","CS","Demo Beer Product #5"
7,"BEER-001006","FERT","BEER","CS","Demo Beer Product #6"
8,"BEER-001007","FERT","BEER","CS","Demo Beer Product #7"
9,"BEER-001008","FERT","BEER","CS","Demo Beer Product #8"
10,"BEER-001009","FERT","BEER","CS","Demo Beer Product #9"
11,"BEER-001010","FERT","BEER","CS","Demo Beer Product #10"
12,"BEER-001011","FERT","BEER","CS","Demo Beer Product #11"
13,"BEER-001012","FERT","BEER","CS","Demo Beer Product #12"
14,"BEER-001013","FERT","BEER","CS","Demo Beer Product #13"
15,"BEER-001014","FERT","BEER","CS","Demo Beer Product #14"
16,"BEER-001015","FERT","BEER","CS","Demo Beer Product #15"
17,"BEER-001016","FERT","BEER","CS","Demo Beer Product #16"
18,"BEER-001017","FERT","BEER","CS","Demo Beer Product #17"
19,"BEER-001018","FERT","BEER","CS","Demo Beer Product #18"
20,"BEER-001019","FERT","BEER","CS","Demo Beer Product #19"
21,"BEER-001020","FERT","BEER","CS","Demo Beer Product #20"
22,"BEER-001021","FERT","BEER","CS","Demo Beer Product #21"
23,"BEER-001022","FERT","BEER","CS","Demo Beer Product #22"
24,"BEER-001023","FERT","BEER","CS","Demo Beer Product #23"
25,"BEER-001024","FERT","BEER","CS","Demo Beer Product #24"
26,"BEER-001025","FERT","BEER","CS","Demo Beer Product #25"
27,"BEER-001026","FERT","BEER","CS","Demo Beer Product #26"
28,"BEER-001027","FERT","BEER","CS","Demo Beer Product #27"
29,"BEER-001028","FERT","BEER","CS","Demo Beer Product #28"
30,"BEER-001029","FERT","BEER","CS","Demo Beer Product #29"
31,"BEER-001030","FERT","BEER","CS","Demo Beer Product #30"
32,"BEER-001031","FERT","BEER","CS","Demo Beer Product #31"
33,"BEER-001032","FERT","BEER","CS","Demo Beer Product #32"
34,"BEER-001033","FERT","BEER","CS","Demo Beer Product #33"
35,"BEER-001034","FERT","BEER","CS","Demo Beer Product #34"
36,"BEER-001035","FERT","BEER","CS","Demo Beer Product #35"
37,"BEER-001036","FERT","BEER","CS","Demo Beer Product #36"
38,"BEER-001037","FERT","BEER","CS","Demo Beer Product #37"
39,"BEER-001038","FERT","BEER","CS","Demo Beer Product #38"
40,"BEER-001039","FERT","BEER","CS","Demo Beer Product #39"
41,"BEER-001040","FERT","BEER","CS","Demo Beer Product #40"
42,"BEER-001041","FERT","BEER","CS","Demo Beer Product #41"
43,"BEER-001042","FERT","BEER","CS","Demo Beer Product #42"
44,"BEER-001043","FERT","BEER","CS","Demo Beer Product #43"
45,"BEER-001044","FERT","BEER","CS","Demo Beer Product #44"
46,"BEER-001045","FERT","BEER","CS","Demo Beer Product #45"
47,"BEER-001046","FERT","BEER","CS","Demo Beer Product #46"
48,"BEER-001047","FERT","BEER","CS","Demo Beer Product #47"
49,"BEER-001048","FERT","BEER","CS","Demo Beer Product #48"
50,"BEER-001049","FERT","BEER","CS","Demo Beer Product #49"
