"PRODUCT_ID","PLANT","STORAGE_LOCATION","ON_HAND_STOCK"
"BEER-001008","IL01","RECV",129.000
"BEER-001023","IL01","RECV",98.000
"BEER-001024","NY01","RECV",99.000
"BEER-001026","ON01","RECV",110.000
"BEER-001034","NY01","RECV",185.000
"BEER-001048","ON01","RECV",121.000
"BEER-001051","NY01","RECV",147.000
"BEER-001063","ON01","RECV",104.000
"BEER-001073","NY01","RECV",125.000
"BEER-001098","ON01","RECV",55.000
"BEER-001016","ON01","RECV",160.000
"BEER-001017","IL01","RECV",115.000
"BEER-001036","NY01","RECV",79.000
"BEER-001095","ON01","RECV",123.000
"BEER-001023","ON01","RECV",74.000
"BEER-001050","ON01","RECV",179.000
"BEER-001052","NY01","RECV",159.000
"BEER-001056","IL01","RECV",172.000
"BEER-001069","IL01","RECV",119.000
"BEER-001073","ON01","RECV",85.000
"BEER-001074","ON01","RECV",56.000
"BEER-001006","NY01","RECV",163.000
"BEER-001007","ON01","RECV",119.000
"BEER-001011","IL01","RECV",190.000
"BEER-001018","NY01","RECV",102.000
"BEER-001032","ON01","RECV",116.000
"BEER-001067","IL01","RECV",197.000
"BEER-001070","NY01","RECV",101.000
"BEER-001095","NY01","RECV",163.000
"BEER-001030","ON01","RECV",111.000
"BEER-001031","IL01","RECV",95.000
"BEER-001035","IL01","RECV",181.000
"BEER-001043","ON01","RECV",141.000
"BEER-001048","IL01","RECV",86.000
"BEER-001051","ON01","RECV",66.000
"BEER-001059","ON01","RECV",101.000
"BEER-001062","IL01","RECV",150.000
"BEER-001074","NY01","RECV",181.000
"BEER-001078","IL01","RECV",79.000
"BEER-001080","NY01","RECV",98.000
"BEER-001081","ON01","RECV",171.000
"BEER-001075","ON01","RECV",56.000
"BEER-001082","IL01","RECV",141.000
"BEER-001032","NY01","RECV",58.000
"BEER-001006","IL01","RECV",121.000
"BEER-001030","IL01","RECV",189.000
"BEER-001068","ON01","RECV",143.000
"BEER-001026","NY01","RECV",140.000
"BEER-001035","ON01","RECV",199.000
"BEER-001052","ON01","RECV",157.000
"BEER-001064","ON01","RECV",95.000
"BEER-001072","NY01","RECV",131.000
"BEER-001092","IL01","RECV",135.000
"BEER-001031","ON01","RECV",139.000
"BEER-001068","NY01","RECV",83.000
"BEER-001075","IL01","RECV",128.000
"BEER-001090","NY01","RECV",73.000
"BEER-001000","IL01","RECV",85.000
"BEER-001001","NY01","RECV",77.000
"BEER-001008","ON01","RECV",108.000
"BEER-001009","ON01","RECV",90.000
"BEER-001021","IL01","RECV",73.000
"BEER-001023","NY01","RECV",125.000
"BEER-001049","IL01","RECV",191.000
"BEER-001054","NY01","RECV",62.000
"BEER-001066","NY01","RECV",106.000
"BEER-001076","NY01","RECV",107.000
"BEER-001020","NY01","RECV",88.000
"BEER-001038","IL01","RECV",90.000
"BEER-001058","NY01","RECV",171.000
"BEER-001065","IL01","RECV",109.000
"BEER-001071","NY01","RECV",165.000
"BEER-001082","NY01","RECV",60.000
"BEER-001086","NY01","RECV",174.000
"BEER-001087","IL01","RECV",184.000
"BEER-001098","IL01","RECV",74.000
"BEER-001031","NY01","RECV",163.000
"BEER-001036","IL01","RECV",110.000
"BEER-001044","IL01","RECV",172.000
"BEER-001076","ON01","RECV",104.000
"BEER-001094","NY01","RECV",82.000
