"SCENARIO_NAME","SCENARIO_BARLEY_PRICE","SCENARIO_HOPS_PRICE","PRODUCT_ID","PRODUCT_DESCRIPTION","BEER_STYLE","RETAIL_PRICE","BASELINE_COGS","SCENARIO_COGS","COGS_INCREASE_PCT","BASELINE_MARGIN_PCT","SCENARIO_MARGIN_PCT","MARGIN_EROSION_PCT","PRICING_ACTION","RECOMMENDED_PRICE"
"Baseline",5.50,4.20,"BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER",32.75,21.73,21.73,0.0,33.7,33.7,0.0,"ABSORB",32.75
"Crisis (+50%)",8.25,6.30,"BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER",32.75,21.73,25.22,16.1,33.7,23.0,10.7,"PARTIAL_PASS_THROUGH",34.85
"Moderate (+15%)",6.33,4.83,"BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER",32.75,21.73,22.78,4.8,33.7,30.5,3.2,"ABSORB",32.75
"Extreme (+75%)",9.63,7.35,"BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER",32.75,21.73,26.97,24.1,33.7,17.7,16.0,"FULL_REPRICE",37.21
"High Stress (+30%)",7.15,5.46,"BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER",32.75,21.73,23.82,9.6,33.7,27.3,6.4,"PARTIAL_PASS_THROUGH",34.01
"Baseline",5.50,4.20,"BEER-001001","Chicago IPA - 24x16oz Case","IPA",45.93,25.26,25.26,0.0,45.0,45.0,0.0,"ABSORB",45.93
"Crisis (+50%)",8.25,6.30,"BEER-001001","Chicago IPA - 24x16oz Case","IPA",45.93,25.26,30.81,22.0,45.0,32.9,12.1,"FULL_REPRICE",50.65
"Moderate (+15%)",6.33,4.83,"BEER-001001","Chicago IPA - 24x16oz Case","IPA",45.93,25.26,26.93,6.6,45.0,41.4,3.6,"ABSORB",45.93
"Extreme (+75%)",9.63,7.35,"BEER-001001","Chicago IPA - 24x16oz Case","IPA",45.93,25.26,33.59,33.0,45.0,26.9,18.1,"FULL_REPRICE",53.01
"High Stress (+30%)",7.15,5.46,"BEER-001001","Chicago IPA - 24x16oz Case","IPA",45.93,25.26,28.59,13.2,45.0,37.8,7.3,"PARTIAL_PASS_THROUGH",47.93
"Baseline",5.50,4.20,"BEER-001002","Toronto Stout - 12x22oz Case","STOUT",40.47,25.27,25.27,0.0,37.6,37.6,0.0,"ABSORB",40.47
"Crisis (+50%)",8.25,6.30,"BEER-001002","Toronto Stout - 12x22oz Case","STOUT",40.47,25.27,29.31,16.0,37.6,27.6,10.0,"PARTIAL_PASS_THROUGH",42.89
"Moderate (+15%)",6.33,4.83,"BEER-001002","Toronto Stout - 12x22oz Case","STOUT",40.47,25.27,26.49,4.8,37.6,34.6,3.0,"ABSORB",40.47
"Extreme (+75%)",9.63,7.35,"BEER-001002","Toronto Stout - 12x22oz Case","STOUT",40.47,25.27,31.33,24.0,37.6,22.6,15.0,"FULL_REPRICE",45.62
"High Stress (+30%)",7.15,5.46,"BEER-001002","Toronto Stout - 12x22oz Case","STOUT",40.47,25.27,27.69,9.6,37.6,31.6,6.0,"PARTIAL_PASS_THROUGH",41.92
"Baseline",5.50,4.20,"BEER-001003","NY Pilsner - 50L Keg","PILSNER",146.99,87.80,87.80,0.0,40.3,40.3,0.0,"ABSORB",146.99
"Crisis (+50%)",8.25,6.30,"BEER-001003","NY Pilsner - 50L Keg","PILSNER",146.99,87.80,91.05,3.7,40.3,38.1,2.2,"ABSORB",146.99
"Moderate (+15%)",6.33,4.83,"BEER-001003","NY Pilsner - 50L Keg","PILSNER",146.99,87.80,88.78,1.1,40.3,39.6,0.7,"ABSORB",146.99
"Extreme (+75%)",9.63,7.35,"BEER-001003","NY Pilsner - 50L Keg","PILSNER",146.99,87.80,92.68,5.6,40.3,36.9,3.3,"ABSORB",146.99
"High Stress (+30%)",7.15,5.46,"BEER-001003","NY Pilsner - 50L Keg","PILSNER",146.99,87.80,89.75,2.2,40.3,38.9,1.3,"ABSORB",146.99
"Baseline",5.50,4.20,"BEER-001004","Chicago Amber Ale - 50L Keg","ALE",153.64,93.47,93.47,0.0,39.2,39.2,0.0,"ABSORB",153.64
"Crisis (+50%)",8.25,6.30,"BEER-001004","Chicago Amber Ale - 50L Keg","ALE",153.64,93.47,97.42,4.2,39.2,36.6,2.6,"ABSORB",153.64
"Moderate (+15%)",6.33,4.83,"BEER-001004","Chicago Amber Ale - 50L Keg","ALE",153.64,93.47,94.66,1.3,39.2,38.4,0.8,"ABSORB",153.64
