"WEEK_NUM","WEEK_START_DATE","MATERIAL","UNIT","SPOT_PRICE","BASELINE_PRICE","EVENT_IMPACT_PCT"
40,"2025-07-07","BARLEY","USD/bushel",7.53,5.45,40
41,"2025-07-14","BARLEY","USD/bushel",7.5,5.4,40
42,"2025-07-21","BARLEY","USD/bushel",7.51,5.36,40
43,"2025-07-28","BARLEY","USD/bushel",7.37,5.31,40
44,"2025-08-04","BARLEY","USD/bushel",7.48,5.27,40
45,"2025-08-11","BARLEY","USD/bushel",7.42,5.23,40
46,"2025-08-18","BARLEY","USD/bushel",7.2,5.2,40
47,"2025-08-25","BARLEY","USD/bushel",7.25,5.17,40
48,"2025-09-01","BARLEY","USD/bushel",7.24,5.15,40
49,"2025-09-08","BARLEY","USD/bushel",7.08,5.13,40
50,"2025-09-15","BARLEY","USD/bushel",7.16,5.11,40
51,"2025-09-22","BARLEY","USD/bushel",7.14,5.1,40
52,"2025-09-29","BARLEY","USD/bushel",7.25,5.1,40
14,"2025-01-06","HOPS","USD/lb",5.05,4.16,22
15,"2025-01-13","HOPS","USD/lb",5.06,4.13,22
16,"2025-01-20","HOPS","USD/lb",4.96,4.09,22
17,"2025-01-27","HOPS","USD/lb",4.9,4.06,22
18,"2025-02-03","HOPS","USD/lb",4.85,4.03,22
19,"2025-02-10","HOPS","USD/lb",4.87,4,22
20,"2025-02-17","HOPS","USD/lb",4.91,3.98,22
21,"2025-02-24","HOPS","USD/lb",4.84,3.95,22
22,"2025-03-03","HOPS","USD/lb",4.86,3.93,22
23,"2025-03-10","HOPS","USD/lb",4.84,3.92,22
24,"2025-03-17","HOPS","USD/lb",4.74,3.91,22
25,"2025-03-24","HOPS","USD/lb",4.85,3.9,22
26,"2025-03-31","HOPS","USD/lb",4.75,3.9,22
1,"2024-10-07","BARLEY","USD/bushel",6.91,5.1,35
2,"2024-10-14","BARLEY","USD/bushel",6.93,5.11,35
3,"2024-10-21","BARLEY","USD/bushel",6.97,5.13,35
4,"2024-10-28","BARLEY","USD/bushel",6.97,5.15,35
5,"2024-11-04","BARLEY","USD/bushel",7.1,5.17,35
6,"2024-11-11","BARLEY","USD/bushel",6.96,5.2,35
7,"2024-11-18","BARLEY","USD/bushel",7.07,5.23,35
8,"2024-11-25","BARLEY","USD/bushel",7.19,5.27,35
9,"2024-12-02","BARLEY","USD/bushel",7.06,5.31,35
10,"2024-12-09","BARLEY","USD/bushel",7.22,5.36,35
11,"2024-12-16","BARLEY","USD/bushel",7.41,5.4,35
12,"2024-12-23","BARLEY","USD/bushel",7.44,5.45,35
13,"2024-12-30","BARLEY","USD/bushel",7.53,5.5,35
40,"2025-07-07","HOPS","USD/lb",4.18,4.24,0
41,"2025-07-14","HOPS","USD/lb",4.21,4.27,0
42,"2025-07-21","HOPS","USD/lb",4.38,4.31,0
