"WEEK_NUM","WEEK_START_DATE","WEEK_END_DATE"
1,"2024-10-07","2024-10-13"
2,"2024-10-14","2024-10-20"
3,"2024-10-21","2024-10-27"
4,"2024-10-28","2024-11-03"
5,"2024-11-04","2024-11-10"
6,"2024-11-11","2024-11-17"
7,"2024-11-18","2024-11-24"
8,"2024-11-25","2024-12-01"
9,"2024-12-02","2024-12-08"
10,"2024-12-09","2024-12-15"
11,"2024-12-16","2024-12-22"
12,"2024-12-23","2024-12-29"
13,"2024-12-30","2025-01-05"
14,"2025-01-06","2025-01-12"
15,"2025-01-13","2025-01-19"
16,"2025-01-20","2025-01-26"
17,"2025-01-27","2025-02-02"
18,"2025-02-03","2025-02-09"
19,"2025-02-10","2025-02-16"
20,"2025-02-17","2025-02-23"
21,"2025-02-24","2025-03-02"
22,"2025-03-03","2025-03-09"
23,"2025-03-10","2025-03-16"
24,"2025-03-17","2025-03-23"
25,"2025-03-24","2025-03-30"
26,"2025-03-31","2025-04-06"
27,"2025-04-07","2025-04-13"
28,"2025-04-14","2025-04-20"
29,"2025-04-21","2025-04-27"
30,"2025-04-28","2025-05-04"
31,"2025-05-05","2025-05-11"
32,"2025-05-12","2025-05-18"
33,"2025-05-19","2025-05-25"
34,"2025-05-26","2025-06-01"
35,"2025-06-02","2025-06-08"
36,"2025-06-09","2025-06-15"
37,"2025-06-16","2025-06-22"
38,"2025-06-23","2025-06-29"
39,"2025-06-30","2025-07-06"
40,"2025-07-07","2025-07-13"
41,"2025-07-14","2025-07-20"
42,"2025-07-21","2025-07-27"
43,"2025-07-28","2025-08-03"
44,"2025-08-04","2025-08-10"
45,"2025-08-11","2025-08-17"
46,"2025-08-18","2025-08-24"
47,"2025-08-25","2025-08-31"
48,"2025-09-01","2025-09-07"
49,"2025-09-08","2025-09-14"
50,"2025-09-15","2025-09-21"
51,"2025-09-22","2025-09-28"
52,"2025-09-29","2025-10-05"
53,"2025-10-06","2025-10-12"
54,"2025-10-13","2025-10-19"
55,"2025-10-20","2025-10-26"
56,"2025-10-27","2025-11-02"
57,"2025-11-03","2025-11-09"
58,"2025-11-10","2025-11-16"
59,"2025-11-17","2025-11-23"
60,"2025-11-24","2025-11-30"
61,"2025-12-01","2025-12-07"
62,"2025-12-08","2025-12-14"
63,"2025-12-15","2025-12-21"
64,"2025-12-22","2025-12-28"
65,"2025-12-29","2026-01-04"
66,"2026-01-05","2026-01-11"
67,"2026-01-12","2026-01-18"
68,"2026-01-19","2026-01-25"
69,"2026-01-26","2026-02-01"
70,"2026-02-02","2026-02-08"
71,"2026-02-09","2026-02-15"
72,"2026-02-16","2026-02-22"
73,"2026-02-23","2026-03-01"
74,"2026-03-02","2026-03-08"
75,"2026-03-09","2026-03-15"
76,"2026-03-16","2026-03-22"
77,"2026-03-23","2026-03-29"
78,"2026-03-30","2026-04-05"
79,"2026-04-06","2026-04-12"
80,"2026-04-13","2026-04-19"
81,"2026-04-20","2026-04-26"
82,"2026-04-27","2026-05-03"
83,"2026-05-04","2026-05-10"
84,"2026-05-11","2026-05-17"
85,"2026-05-18","2026-05-24"
86,"2026-05-25","2026-05-31"
87,"2026-06-01","2026-06-07"
88,"2026-06-08","2026-06-14"
89,"2026-06-15","2026-06-21"
90,"2026-06-22","2026-06-28"
91,"2026-06-29","2026-07-05"
92,"2026-07-06","2026-07-12"
93,"2026-07-13","2026-07-19"
94,"2026-07-20","2026-07-26"
95,"2026-07-27","2026-08-02"
96,"2026-08-03","2026-08-09"
97,"2026-08-10","2026-08-16"
98,"2026-08-17","2026-08-23"
99,"2026-08-24","2026-08-30"
100,"2026-08-31","2026-09-06"
101,"2026-09-07","2026-09-13"
102,"2026-09-14","2026-09-20"
103,"2026-09-21","2026-09-27"
104,"2026-09-28","2026-10-04"
