"WEEK_NUM","WEEK_START_DATE","DC_ID","DC_NAME","CITY","STATE","LATITUDE","LONGITUDE","ON_HAND_UNITS","WEEKLY_DEMAND_UNITS","INBOUND_SUPPLY_TONS","AVG_SUPPLY_DISRUPTION","AVG_LEAD_DAYS","DAYS_OF_SUPPLY","SAFETY_STOCK_THRESHOLD","RISK_STATUS"
59,"2025-11-17","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,34696,870,15,0,3,279.9,2175,"NORMAL"
12,"2024-12-23","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,44829,1130,11.4,0.3,1,249.9,2825,"AT_RISK"
77,"2026-03-23","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,54443,1479,17.6,0.18,1,246.5,3698,"ELEVATED"
35,"2025-06-02","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,26422,1136,27,0.25,2,137.7,2840,"AT_RISK"
23,"2025-03-10","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,28380,835,17.1,0.25,1,233.6,2088,"AT_RISK"
76,"2026-03-16","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,30285,729,26,0.18,3,338.2,1823,"ELEVATED"
87,"2026-06-01","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,40447,1320,16,0,3,233,3300,"NORMAL"
35,"2025-06-02","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,36192,1259,9.9,0.25,3,194.5,3148,"AT_RISK"
52,"2025-09-29","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,32154,1055,13.2,0.15,3,200,2638,"ELEVATED"
13,"2024-12-30","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,25771,564,24.6,0.3,2,348.6,1410,"AT_RISK"
42,"2025-07-21","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,45158,1649,15,0.15,2,187.5,4123,"ELEVATED"
89,"2026-06-15","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,34657,1414,14.3,0.12,3,168.9,3535,"ELEVATED"
99,"2026-08-24","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,44562,1810,15,0,2,185.4,4525,"NORMAL"
45,"2025-08-11","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,34572,1225,23.5,0.15,4,187.7,3063,"ELEVATED"
71,"2026-02-09","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,43023,884,22,0,3,339.4,2210,"NORMAL"
55,"2025-10-20","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,33191,957,22.6,0.15,3,232.6,2393,"ELEVATED"
85,"2026-05-18","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,39541,1361,10,0,4,204.3,3403,"NORMAL"
24,"2025-03-17","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,36200,1040,19.8,0.25,5,250.7,2600,"AT_RISK"
60,"2025-11-24","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,21697,770,16,0,2,222.4,1925,"NORMAL"
25,"2025-03-24","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,31560,735,23.8,0.3,3,273.1,1838,"AT_RISK"
21,"2025-02-24","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,32076,650,8.8,0.3,4,357.7,1625,"AT_RISK"
8,"2024-11-25","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,41378,1034,24.3,0.25,1,269.7,2585,"AT_RISK"
71,"2026-02-09","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,27587,785,28,0,1,267.6,1963,"NORMAL"
15,"2025-01-13","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,23511,551,8.2,0.45,2,299.5,1378,"CRITICAL"
36,"2025-06-09","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,43644,1615,23.4,0.25,1,202.3,4038,"AT_RISK"
33,"2025-05-19","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,31469,1288,20.7,0.25,3,175.1,3220,"AT_RISK"
86,"2026-05-25","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,29572,942,24.1,0.18,2,253.9,2355,"ELEVATED"
36,"2025-06-09","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,32919,1283,10.8,0.25,3,179.7,3208,"AT_RISK"
100,"2026-08-31","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,35675,1212,11,0,3,216.1,3030,"NORMAL"
