"WEEK_NUM","WEEK_START_DATE","DC_ID","BEER_STYLE","PRODUCT_COUNT","TOTAL_UNITS","TOTAL_REVENUE","TOTAL_COGS","TOTAL_GROSS_PROFIT","AVG_MARGIN_PCT","BARLEY_PRICE","HOPS_PRICE","AVG_BARLEY_USAGE","AVG_HOPS_USAGE","TOTAL_BARLEY_COST","TOTAL_HOPS_COST","AVG_UNIT_MARGIN","AVG_SELLING_PRICE","AVG_UNIT_COGS"
39,"2025-06-30","DC-TOR","PILSNER",1,26,3936.4,2319.72,1616.68,41.07,7.31,4.14,0.800,0.500,152.05,53.82,62.18,151.40,89.22
62,"2025-12-08","DC-SEA","PILSNER",1,14,2099.02,1228.08,870.94,41.49,5.32,4.33,0.800,0.500,59.58,30.31,62.21,149.93,87.72
81,"2026-04-20","DC-TOR","PILSNER",1,23,3414.58,2028.6,1385.98,40.59,5.86,4.43,0.800,0.500,107.82,50.94,60.26,148.46,88.2
9,"2024-12-02","DC-NYC","IPA",1,26,1218.1,732.94,485.16,39.83,7.06,5.24,0.950,1.400,174.38,190.74,18.66,46.85,28.19
79,"2026-04-06","DC-ATL","STOUT",1,32,1359.68,820.8,538.88,39.63,5.8,4.27,1.200,0.350,222.72,47.82,16.84,42.49,25.65
101,"2026-09-07","DC-SEA","PILSNER",1,20,2881,1754.4,1126.6,39.1,5.2,4.52,0.800,0.500,83.2,45.2,56.33,144.05,87.72
59,"2025-11-17","DC-SEA","PILSNER",1,15,2226.9,1316.85,910.05,40.87,5.3,4.49,0.800,0.500,63.6,33.68,60.67,148.46,87.79
8,"2024-11-25","DC-SEA","PILSNER",1,14,1996.12,1256.36,739.76,37.06,7.19,5.38,0.800,0.500,80.53,37.66,52.84,142.58,89.74
45,"2025-08-11","DC-DAL","IPA",1,44,2122.12,1210,912.12,42.98,7.42,4.5,0.950,1.400,310.16,277.2,20.73,48.23,27.5
104,"2026-09-28","DC-SEA","PILSNER",1,18,2751.66,1578.6,1173.06,42.63,5.19,4.5,0.800,0.500,74.74,40.5,65.17,152.87,87.7
102,"2026-09-14","DC-DAL","ALE",1,18,2903.76,1680.84,1222.92,42.12,5.2,4.46,0.900,0.700,84.24,56.2,67.94,161.32,93.38
35,"2025-06-02","DC-ATL","LAGER",1,16,550.24,374.4,175.84,31.96,7.56,4.07,0.850,0.550,102.82,35.82,10.99,34.39,23.4
19,"2025-02-10","DC-TOR","PILSNER",1,14,1996.12,1259.86,736.26,36.88,7.82,4.87,0.800,0.500,87.58,34.09,52.59,142.58,89.99
58,"2025-11-10","DC-ATL","LAGER",1,14,476.84,301.28,175.56,36.82,5.16,4.36,0.850,0.550,61.4,33.57,12.54,34.06,21.52
29,"2025-04-21","DC-TOR","PILSNER",1,25,3858.5,2251.5,1607,41.65,7.9,4.88,0.800,0.500,158,61,64.28,154.34,90.06
73,"2026-02-23","DC-NYC","IPA",1,29,1398.67,731.67,667,47.69,5.89,3.92,0.950,1.400,162.27,159.15,23,48.23,25.23
11,"2024-12-16","DC-NYC","IPA",1,24,1113.36,686.4,426.96,38.35,7.41,5.29,0.950,1.400,168.95,177.74,17.79,46.39,28.6
3,"2024-10-21","DC-SEA","PILSNER",1,16,2281.28,1425.12,856.16,37.53,6.97,4.38,0.800,0.500,89.22,35.04,53.51,142.58,89.07
27,"2025-04-07","DC-DAL","ALE",1,18,2848.5,1729.8,1118.7,39.27,8.05,4.68,0.900,0.700,130.41,58.97,62.15,158.25,96.1
68,"2026-01-19","DC-SEA","PILSNER",1,17,2548.81,1493.45,1055.36,41.41,5.66,4.05,0.800,0.500,76.98,34.42,62.08,149.93,87.85
74,"2026-03-02","DC-ATL","STOUT",1,26,1104.74,672.36,432.38,39.14,5.94,4.39,1.200,0.350,185.33,39.95,16.63,42.49,25.86
99,"2026-08-24","DC-DAL","IPA",1,37,1733.45,1007.88,725.57,41.86,7.09,4.54,0.950,1.400,249.21,235.17,19.61,46.85,27.24
93,"2026-07-13","DC-ATL","STOUT",1,39,1593.93,1069.38,524.55,32.91,7.3,4.18,1.200,0.350,341.64,57.06,13.45,40.87,27.42
94,"2026-07-20","DC-DAL","ALE",1,20,3226.4,1901.6,1324.8,41.06,7.24,4.26,0.900,0.700,130.32,59.64,66.24,161.32,95.08
33,"2025-05-19","DC-ATL","STOUT",1,37,1527.36,1040.81,486.55,31.86,7.79,4.53,1.200,0.350,345.88,58.66,13.15,41.28,28.13
93,"2026-07-13","DC-SEA","PILSNER",1,27,3889.35,2409.21,1480.14,38.06,7.3,4.18,0.800,0.500,157.68,56.43,54.82,144.05,89.23
9,"2024-12-02","DC-TOR","PILSNER",1,17,2423.86,1522.69,901.17,37.18,7.06,5.24,0.800,0.500,96.02,44.54,53.01,142.58,89.57
28,"2025-04-14","DC-SEA","IPA",1,20,927.8,569.8,358,38.59,7.98,4.83,0.950,1.400,151.62,135.24,17.9,46.39,28.49
94,"2026-07-20","DC-TOR","PILSNER",1,26,3783.52,2319.72,1463.8,38.69,7.24,4.26,0.800,0.500,150.59,55.38,56.3,145.52,89.22
34,"2025-05-26","DC-TOR","PILSNER",1,24,3598.32,2147.04,1451.28,40.33,7.7,4.01,0.800,0.500,147.84,48.12,60.47,149.93,89.46
