"WEEK_NUM","WEEK_START_DATE","PRODUCT_ID","PRODUCT_DESCRIPTION","BEER_STYLE","PACK_TYPE","DC_ID","DC_NAME","CITY","STATE","UNITS_SOLD","SELLING_PRICE","UNIT_COGS","BARLEY_USAGE_PER_UNIT","HOPS_USAGE_PER_UNIT","OTHER_COGS_PER_UNIT"
1,"2024-10-07","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",15,33.41,23.04,0.85,0.55,14.74
17,"2025-01-27","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,34.39,23.96,0.85,0.55,14.74
33,"2025-05-19","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",15,32.10,23.85,0.85,0.55,14.74
49,"2025-09-08","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,34.39,24.29,0.85,0.55,14.74
65,"2025-12-29","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",10,33.41,21.7,0.85,0.55,14.74
81,"2026-04-20","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",17,34.39,22.16,0.85,0.55,14.74
97,"2026-08-10","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,32.42,23.14,0.85,0.55,14.74
10,"2024-12-09","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",9,32.42,23.81,0.85,0.55,14.74
26,"2025-03-31","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",13,32.75,24.11,0.85,0.55,14.74
42,"2025-07-21","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",19,34.06,23.53,0.85,0.55,14.74
58,"2025-11-10","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,34.06,21.52,0.85,0.55,14.74
74,"2026-03-02","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",15,32.42,22.2,0.85,0.55,14.74
90,"2026-06-22","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",17,33.08,23.7,0.85,0.55,14.74
11,"2024-12-16","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,33.73,23.95,0.85,0.55,14.74
27,"2025-04-07","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,33.41,24.16,0.85,0.55,14.74
43,"2025-07-28","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",18,32.10,23.38,0.85,0.55,14.74
59,"2025-11-17","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,31.77,21.71,0.85,0.55,14.74
75,"2026-03-09","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",13,32.42,22.12,0.85,0.55,14.74
91,"2026-06-29","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",20,31.77,23.69,0.85,0.55,14.74
12,"2024-12-23","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",10,34.06,23.9,0.85,0.55,14.74
28,"2025-04-14","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,34.39,24.18,0.85,0.55,14.74
44,"2025-08-04","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",18,34.39,23.46,0.85,0.55,14.74
60,"2025-11-24","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,34.06,21.72,0.85,0.55,14.74
76,"2026-03-16","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",15,33.08,22.22,0.85,0.55,14.74
92,"2026-07-06","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",18,32.10,23.24,0.85,0.55,14.74
13,"2024-12-30","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,34.39,23.95,0.85,0.55,14.74
29,"2025-04-21","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",15,32.42,24.14,0.85,0.55,14.74
45,"2025-08-11","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,32.10,23.52,0.85,0.55,14.74
61,"2025-12-01","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,31.77,21.62,0.85,0.55,14.74
77,"2026-03-23","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",13,33.73,22.1,0.85,0.55,14.74
93,"2026-07-13","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",20,33.41,23.24,0.85,0.55,14.74
14,"2025-01-06","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,33.08,23.8,0.85,0.55,14.74
30,"2025-04-28","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,32.75,24.05,0.85,0.55,14.74
46,"2025-08-18","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",15,34.39,24.41,0.85,0.55,14.74
62,"2025-12-08","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,34.06,21.64,0.85,0.55,14.74
78,"2026-03-30","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",15,32.10,22.12,0.85,0.55,14.74
94,"2026-07-20","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",21,33.73,23.24,0.85,0.55,14.74
15,"2025-01-13","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,32.42,23.93,0.85,0.55,14.74
31,"2025-05-05","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,31.77,23.81,0.85,0.55,14.74
47,"2025-08-25","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,32.42,24.43,0.85,0.55,14.74
63,"2025-12-15","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,31.77,21.67,0.85,0.55,14.74
79,"2026-04-06","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,33.41,22.02,0.85,0.55,14.74
95,"2026-07-27","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",18,32.10,23.25,0.85,0.55,14.74
